,"bitmex-XRP/BTC-{'name': 'rsi', 'params': {'rsi_period': 14}}"
404,57.778935689112586
405,62.646341388891635
406,71.03666041560527
407,71.03666041560527
408,80.95780381219522
409,61.50911039861106
410,62.32143481199002
411,60.93648623513229
412,59.512233257183745
413,59.51223325718375
414,59.512233257183745
415,56.229340014426654
416,56.229340014426654
417,57.58608505978753
418,57.58608505978753
419,57.586085059787514
420,55.439783577270894
421,41.96468833339914
422,45.52919015916566
423,37.99062204654068
424,37.990622046540686
425,31.870534301185916
426,29.326644433347038
427,27.005284907412264
428,41.87080971251603
429,43.25364039736259
430,35.14928583960184
431,34.378515383948844
432,33.58538681826355
433,33.58538681826356
434,35.31608810880663
435,44.63802169611749
436,39.52596515690431
437,44.956827981188866
438,43.89551201264221
439,41.77156134508256
440,38.74327733159872
441,43.179426975771136
442,43.179426975771136
443,40.88989589951236
444,40.88989589951236
445,42.653164590740325
446,44.4380842263272
447,42.99686295248004
448,42.99686295248004
449,37.37381118701622
450,26.93987347321513
451,26.93987347321513
452,40.86481761724069
453,37.9442019162707
454,40.972991138864856
455,45.28674334195472
456,44.12905288590663
457,44.12905288590663
458,44.12905288590663
459,44.129052885906624
460,40.0026630553215
461,45.49166342705359
462,45.49166342705359
463,43.93767952713761
464,40.92651722173437
465,43.02887455866035
466,45.13177892082811
467,40.323111929422254
468,38.83765956423419
469,38.83765956423419
470,41.34370357117275
471,41.34370357117275
472,46.43453631107395
473,56.580318145247354
474,56.580318145247354
475,61.63667285941147
476,70.32139376660818
477,70.32139376660818
478,70.32139376660818
479,74.44953388676177
480,69.26200336397606
481,69.26200336397606
482,61.77401536678726
483,61.77401536678726
484,66.03291787367415
485,69.6718175703049
486,69.6718175703049
487,73.98198470874723
488,74.94080993116401
489,69.42986248636768
490,57.95552932357717
491,62.01212804816344
492,56.175222749986695
493,60.208693351407625
494,51.67270509054488
495,51.67270509054489
496,53.21133655278343
497,58.85434587834711
498,63.58417031884961
499,74.03202595086334
500,77.7360846973835
501,79.11126557290817
502,81.19596206025966
503,82.33510371244972
504,82.71107784048206
505,75.76469928450278
506,75.76469928450278
507,73.96366263093964
508,74.61355614087604
509,77.07820784279286
510,69.78223446516714
511,72.57761852170592
512,70.81392747344086
513,71.55824938560417
514,72.31850454995038
515,68.3815819423928
516,62.854220932207696
517,59.40669528813155
518,57.70248850934847
519,55.97326080020901
520,58.642725789225736
521,59.95028634576741
522,54.39420639121549
523,51.000713811441315
524,47.78990040328131
525,46.22296427397421
526,46.222964273974206
527,48.192995096115375
528,53.675655902645836
529,53.67565590264584
530,43.09663222546348
531,40.24898252726491
532,40.24898252726491
533,42.45393011198247
534,40.831259305531276
535,39.21700615779532
536,36.13965178597579
537,38.728555397557905
538,38.728555397557905
539,41.479984933777494
540,44.17945805291521
541,46.821242895639486
542,46.82124289563948
543,38.392239963134394
544,33.51848594164326
545,29.48724270844712
546,39.87115256360547
547,30.270051340112893
548,30.270051340112893
549,21.33328186149968
550,19.289001002206312
551,30.107983195484312
552,28.725728228572745
553,30.44517387255987
554,36.992890745679816
555,48.69555659337099
556,49.810996044194624
557,47.58278875321817
558,44.376109432837865
559,43.327926759396426
560,46.071525332972676
561,48.74380854994062
562,43.00632594808398
563,44.41551793365
564,39.19695920940993
565,40.69768777834756
566,40.69768777834756
567,33.11446311117807
568,36.309553668253955
569,35.399018217930646
570,37.09775761782141
