datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,bitmex-{}-fill,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-05-02 03:49:00,111234705.22803114,111234705.22803114,581368186874.3048,5226.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581368186874.3048,0.0,1.0,0.0
2019-05-02 03:50:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 03:51:00,111234705.22803114,111234705.22803114,581201334816.4628,5225.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581201334816.4628,0.0,1.0,0.0
2019-05-02 03:52:00,111234705.22803114,111234705.22803114,581201334816.4628,5225.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581201334816.4628,0.0,1.0,0.0
2019-05-02 03:53:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 03:54:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 03:55:00,111234705.22803114,111234705.22803114,581090100111.2347,5224.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581090100111.2347,0.0,1.0,0.0
2019-05-02 03:56:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 03:57:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 03:58:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 03:59:00,111234705.22803114,111234705.22803114,581145717463.8488,5224.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581145717463.8488,0.0,1.0,0.0
2019-05-02 04:00:00,111234705.22803114,111234705.22803114,581312569521.6908,5226.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581312569521.6908,0.0,1.0,0.0
2019-05-02 04:01:00,111234705.22803114,111234705.22803114,581312569521.6908,5226.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581312569521.6908,0.0,1.0,0.0
2019-05-02 04:02:00,111234705.22803114,111234705.22803114,581368186874.3048,5226.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581368186874.3048,0.0,1.0,0.0
2019-05-02 04:03:00,111234705.22803114,111234705.22803114,581368186874.3048,5226.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581368186874.3048,0.0,1.0,0.0
2019-05-02 04:04:00,111234705.22803114,111234705.22803114,581368186874.3048,5226.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581368186874.3048,0.0,1.0,0.0
2019-05-02 04:05:00,111234705.22803114,111234705.22803114,581034482758.6207,5223.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581034482758.6207,0.0,1.0,0.0
2019-05-02 04:06:00,111234705.22803114,111234705.22803114,581034482758.6207,5223.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581034482758.6207,0.0,1.0,0.0
2019-05-02 04:07:00,111234705.22803114,111234705.22803114,580478309232.4805,5218.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580478309232.4805,0.0,1.0,0.0
2019-05-02 04:08:00,111234705.22803114,111234705.22803114,580367074527.2524,5217.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580367074527.2524,0.0,1.0,0.0
2019-05-02 04:09:00,111234705.22803114,111234705.22803114,579755283648.4983,5212.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579755283648.4983,0.0,1.0,0.0
2019-05-02 04:10:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:11:00,111234705.22803114,111234705.22803114,580200222469.4104,5216.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580200222469.4104,0.0,1.0,0.0
2019-05-02 04:12:00,111234705.22803114,111234705.22803114,579810901001.1123,5212.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579810901001.1123,0.0,1.0,0.0
2019-05-02 04:13:00,111234705.22803114,111234705.22803114,579199110122.3582,5207.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579199110122.3582,0.0,1.0,0.0
