datetime,bitmex-XRP/BTC-position-in-USD,bitmex-EOS/BTC-position-in-USD,cash
2019-05-02 10:30:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:35:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:40:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:45:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:50:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:55:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:00:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:05:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:10:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:15:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:20:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:25:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:30:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:35:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:40:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:45:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:50:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 11:55:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:00:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:05:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:10:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:15:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:20:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:25:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:30:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 12:35:00-04:00,0.0,797.27739,0.797028262403871
2019-05-02 12:40:00-04:00,0.0,797.127807,0.797028262403871
2019-05-02 12:45:00-04:00,0.0,798.5807375,0.797028262403871
2019-05-02 12:50:00-04:00,0.0,799.077452,0.797028262403871
2019-05-02 12:55:00-04:00,0.0,797.859827,0.797028262403871
2019-05-02 13:00:00-04:00,0.0,800.051994,0.797028262403871
2019-05-02 13:05:00-04:00,0.0,798.87318,0.797028262403871
2019-05-02 13:10:00-04:00,0.0,799.3656359999999,0.797028262403871
2019-05-02 13:15:00-04:00,0.0,800.37088,0.797028262403871
2019-05-02 13:20:00-04:00,0.0,800.611515,0.797028262403871
2019-05-02 13:25:00-04:00,0.0,799.558382,0.797028262403871
2019-05-02 13:30:00-04:00,0.0,799.0615144999999,0.797028262403871
2019-05-02 13:35:00-04:00,0.0,800.2265245,0.797028262403871
2019-05-02 13:40:00-04:00,0.0,799.729402,0.797028262403871
2019-05-02 13:45:00-04:00,0.0,800.327666,0.797028262403871
2019-05-02 13:50:00-04:00,0.0,800.49651,0.797028262403871
2019-05-02 13:55:00-04:00,-803.7754225599999,799.9500959999999,0.6469005409963711
