datetime,bitmex-ADA/BTC-fill,bitmex-ADA/BTC-leverage,bitmex-ADA/BTC-position-in-BTC,bitmex-ADA/BTC-position-in-USD,bitmex-ADA/BTC-price,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-TRX/BTC-fill,bitmex-TRX/BTC-leverage,bitmex-TRX/BTC-position-in-BTC,bitmex-TRX/BTC-position-in-USD,bitmex-TRX/BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,benchmark_equity,btc_benchmark_equity,returns,btc_returns,benchmark_returns,btc_benchmark_returns,equity_curve,btc_equity_curve,benchmark_equity_curve,btc_benchmark_equity_curve,drawdown,btc_drawdown
2019-05-02 17:42:00-04:00,,1,0.0,0.0,1.267e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.15080410000000002,-807.9329657500001,0.0008717000000000001,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15013662,-804.35694165,5.573e-05,-0.30094072000000005,-1612.2899074000002,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,0.0,0.0,0.0,0.0,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185236,0.0038830540511334277,0.006532092556266411
2019-05-02 17:43:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.1507695,-807.74759625,0.0008715,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15010968,-804.2126106,5.572e-05,-0.30087918,-1611.9602068499998,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,0.0,0.0,0.0,0.0,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185236,0.0038830540511334277,0.006532092556266411
2019-05-02 17:44:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5097.135839606818,5358.0,,1,-0.15073489999999998,-807.6375941999999,0.0008712999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15013662,-804.43200996,5.573e-05,-0.30087151999999995,-1612.06960416,0.00719619624,0.9513131466231463,5097.135839606818,5119.9235547061635,0.933184023889511,9.332711152598705e-05,0.0,9.332711152598705e-05,-9.331840238890887e-05,1.0200116459918425,0.9961199958290956,1.0239847109412237,0.9765770810003714,0.0037878681939111924,0.006532092556266411
2019-05-02 17:45:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.15071759999999998,-807.4695419999999,0.0008711999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15010968,-804.2126106,5.572e-05,-0.30082728,-1611.6821525999999,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,-9.331840238913092e-05,0.0,-9.331840238890887e-05,9.332711152598705e-05,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185237,0.0038830540511334277,0.006532092556266411
2019-05-02 17:46:00-04:00,,1,0.0,0.0,1.265e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.1507003,-807.3768572500001,0.0008711,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15005580000000002,-803.9239485,5.5700000000000005e-05,-0.3007561,-1611.30080575,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,0.0,0.0,0.0,0.0,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185237,0.0038830540511334277,0.006532092556266411
2019-05-02 17:47:00-04:00,,1,0.0,0.0,1.264e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.150683,-807.2841725000001,0.0008710000000000001,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15010968,-804.2126106,5.572e-05,-0.30079268000000003,-1611.4967831,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,0.0,0.0,0.0,0.0,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185237,0.0038830540511334277,0.006532092556266411
2019-05-02 17:48:00-04:00,,1,0.0,0.0,1.264e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.15044079999999999,-805.9865859999999,0.0008696,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15013662,-804.35694165,5.573e-05,-0.30057742,-1610.34352765,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,0.0,0.0,0.0,0.0,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185237,0.0038830540511334277,0.006532092556266411
2019-05-02 17:49:00-04:00,,1,0.0,0.0,1.264e-05,0.6400231866231457,0.9513131466231463,5097.135839606818,5358.0,,1,-0.1504581,-806.1544998,0.0008697,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15013662,-804.43200996,5.573e-05,-0.30059472,-1610.58650976,0.00719619624,0.9513131466231463,5097.135839606818,5119.9235547061635,0.933184023889511,9.332711152598705e-05,0.0,9.332711152598705e-05,-9.331840238890887e-05,1.0200116459918425,0.9961199958290956,1.0239847109412237,0.9765770810003715,0.0037878681939111924,0.006532092556266411
2019-05-02 17:50:00-04:00,,1,0.0,0.0,1.264e-05,0.6400231866231457,0.9513131466231463,5097.135839606818,5358.0,,1,-0.15044079999999999,-806.0618063999999,0.0008696,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15008274,-804.14332092,5.571e-05,-0.30052354,-1610.20512732,0.00719619624,0.9513131466231463,5097.135839606818,5119.9235547061635,0.933184023889511,0.0,0.0,0.0,0.0,1.0200116459918425,0.9961199958290956,1.0239847109412237,0.9765770810003715,0.0037878681939111924,0.006532092556266411
2019-05-02 17:51:00-04:00,,1,0.0,0.0,1.264e-05,0.6400231866231457,0.9513131466231463,5098.562809326752,5359.5,,1,-0.1504062,-806.1020288999999,0.0008693999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15008274,-804.36844503,5.571e-05,-0.30048894,-1610.47047393,0.00719619624,0.9513131466231463,5098.562809326752,5121.3569039655995,0.9329228472805299,0.00027995520716683764,0.0,0.00027995520716683764,-0.00027987685418418007,1.0202972035635087,0.9961199958290956,1.024271380793111,0.9763037596790728,0.0035023106222449307,0.006532092556266411
