datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-03 08:38:00,1.3611588220743958,1.3611588220743964,5305.797088445997,3898.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5305.797088445997,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:39:00,1.3611588220743958,1.3611588220743964,5306.477667857034,3898.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5306.477667857034,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:40:00,1.3611588220743958,1.3611588220743964,5305.1165090349605,3897.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5305.1165090349605,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:41:00,1.3611588220743958,1.3611588220743964,5297.630135513551,3892.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5297.630135513551,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:42:00,1.3611588220743958,1.3611588220743964,5296.949556102513,3891.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5296.949556102513,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:43:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:44:00,1.3611588220743958,1.3611588220743964,5296.268976691476,3891.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5296.268976691476,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:45:00,1.3611588220743958,1.3611588220743964,5300.3524531576995,3894.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5300.3524531576995,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:46:00,1.3611588220743958,1.3611588220743964,5300.3524531576995,3894.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5300.3524531576995,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:47:00,1.3611588220743958,1.3611588220743964,5300.3524531576995,3894.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5300.3524531576995,0.0,1.0026295883399996,0.00010982706000017828
