datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,bitmex-ETH/USD-fill,bitmex-ETH/USD-price,cash,commission,total,bitmex-BTC/USD,bitmex-ETH/USD,returns,equity_curve,drawdown
2019-03-28 12:32:00,,4008.0,,140.72,107278.00087465325,1810.7455662669104,107288.50791723763,-107231.88873016351,107242.39577274788,0.00017836857751363233,1.0728850791723785,9.718754160337184e-05
2019-03-28 12:33:00,,4007.5,,140.75,107278.00087465325,1810.7455662669104,107324.74808144936,-107218.5114985355,107265.25870533161,0.0003377823488763809,1.0732474808144958,0.0
2019-03-28 12:34:00,BUY,4007.5,SELL,140.77342112,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,-6.891963088251352e-05,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:35:00,,4007.5,,140.77342112,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:36:00,,4007.5,,140.77342112,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:37:00,,4007.0,,140.77342112,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:38:00,,4006.5,,140.78,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:39:00,,4007.0,,140.72,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:40:00,,4005.0,,140.71,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:41:00,,4005.0,,140.71,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:42:00,,4005.0,,140.71,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:43:00,,4005.5,,140.71556363,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:44:00,,4003.0,,140.71556363,107317.35129942703,1818.1423482892383,107317.35129942703,0.0,0.0,0.0,1.0731735129942725,7.39678202232863e-05
2019-03-28 12:45:00,BUY,4003.0,SELL,140.71,107309.95006379789,1825.5435839183892,107314.1931909958,107317.35129942703,-107313.10817222913,-2.9427752297195298e-05,1.0731419319099602,0.00010554890453562393
2019-03-28 12:46:00,,4003.0,,140.7,107309.95006379789,1825.5435839183892,107321.81973553225,107317.35129942703,-107305.48162769267,7.10674358133101e-05,1.0732181973553248,2.9283459171081105e-05
2019-03-28 12:47:00,,4003.0,,140.71,107309.95006379789,1825.5435839183892,107314.1931909958,107317.35129942703,-107313.10817222913,-7.106238559173583e-05,1.0731419319099602,0.00010554890453562393
